Number,FirstName,LastName,Status,Height,InjuryStatus
,Darqueze,Dennard,Inactive,5'11",
,AJ,McCarron,Inactive,6'3",
,Joel,Bitonio,Inactive,6'4",
,Christian,Kirksey,Inactive,6'2",
,Mike,Remmers,Inactive,6'5",
,Patrick,Scales,Inactive,6'3",
,Brett,Maher,Inactive,6'0",
,Jimmy,Garoppolo,Inactive,6'2",
,K'Waun,Williams,Inactive,5'9",
,DaQuan,Jones,Inactive,6'4",
,Taylor,Lewan,Inactive,6'7",
,Justin,McCray,Inactive,6'3",
,Jadeveon,Clowney,Inactive,6'5",
,Matt,Feiler,Inactive,6'6",
,James,Ferentz,Inactive,6'2",
,Jonotthan,Harrison,Inactive,6'4",
,Allen,Robinson II,Inactive,6'2",
,Josh,Wells,Inactive,6'6",
,Shaquil,Barrett,Inactive,6'2",
,Bradley,Roby,Inactive,5'11",
,Michael,Schofield,Inactive,6'6",
,Laurent,Duvernay-Tardif,Inactive,6'5",
,Daniel,Sorensen,Inactive,6'1",
,Albert,Wilson,Inactive,5'9",
,Denico,Autry,Inactive,6'5",
,Derek,Carr,Inactive,6'3",
,T.J.,Carrie,Inactive,6'0",
,Justin,Ellis,Inactive,6'2",
,Jeremiah,Attaochu,Inactive,6'3",
,Jason,Verrett,Inactive,5'10",
,Zack,Martin,Inactive,6'4",
,Terrance,Mitchell,Inactive,5'11",
,Keith,Smith,Inactive,6'0",
,Gabe,Jackson,Inactive,6'3",
,Kyle,Fuller,Inactive,5'11",
,Christian,Jones,Inactive,6'3",
,Charles,Leno Jr.,Inactive,6'3",
,Devon,Kennard,Inactive,6'3",
,Cornelius,Lucas,Inactive,6'8",
,Kyle,Van Noy,Inactive,6'3",
,Mike,Pennel,Inactive,6'4",
,Richard,Rodgers,Inactive,6'4",
,Joe,Thomas,Inactive,6'1",
,Anthony,Barr,Inactive,6'5",
,Andrew,Norwell,Inactive,6'6",
,Trai,Turner,Inactive,6'3",
,Brandin,Cooks,Inactive,5'10",
,Cameron,Brate,Inactive,6'5",
,Andrew,Miller,Inactive,6'3",
,Aaron,Donald,Inactive,6'1",
