Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
65,OL,991307113,,
23,DB,991307114,,
23,DB,991337306,,
52,OL,991337307,,
52,OL,991307115,,
26,RB,991307116,,
26,RB,991337308,,
86,WR,991338309,,
41,RB,991307117,,
86,WR,991307118,,
35,DB,991307119,,
35,DB,991337309,,
81,WR,991365688,,
81,WR,991307120,,
54,DL,991307121,,
54,DL,991337310,,
48,LB,991307122,,
40,LB,991307123,,
40,LB,991337311,,
98,DL,991337312,,
98,DL,991307124,,
82,WR,991307125,,
82,WR,991337313,,
72,OL,991337314,,
73,OL,991307126,,
80,WR,991307127,,
11,LB,991307128,,
11,DL,991337315,,
27,DL,991337316,,
27,DL,991307129,,
31,DB,991307130,,
31,DB,991337317,,
47,TE,991307131,,
33,DB,991307132,,
33,DB,991337318,,
37,DB,991377637,,
37,DB,991307133,,
69,OL,991307134,,
69,OL,991337319,,
67,OL,991371850,,
67,OL,991307135,,
46,K,991307136,,
38,RB,991307137,,
38,RB,991337320,,
41,DB,991307138,,
91,DL,991307139,,
83,WR,991307140,,
59,LB,991307141,,
62,OL,991307142,,
10,WR,991339131,,
10,WR,991304817,,
62,DL,991304818,,
94,DL,991339132,,
97,DL,991348496,,
58,DL,991304819,,
53,LB,991304820,,
53,LB,991339133,,
79,OL,991339134,,
79,OL,991304821,,
22,RB,991304822,,
22,RB,991339135,,
44,DB,991339136,,
44,DB,991304823,,
3,DB,991304824,,
3,DB,991339137,,
99,DL,991383712,,
42,RB,991339138,,
42,RB,991304825,,
69,DL,991351310,,
15,QB,991339139,,
15,QB,991304826,,
8,QB,991304827,,
8,QB,991339140,,
89,TE,991339141,,
89,TE,991304828,,
0,LB,991304829,,
0,LB,991339142,,
23,DB,991304830,,
58,DL,991366011,,
6,WR,991304831,,
68,OL,991304832,,
68,OL,991339144,,
18,WR,991408105,,
18,WR,991304833,,
38,RB,991320823,,
43,RB,991304834,,
43,RB,991339145,,
41,LB,991338738,,
36,DB,991377939,,
46,LS,991339146,,
46,LS,991304835,,
30,RB,991304836,,
5,QB,991354869,,
96,DL,991339147,,
96,DL,991304837,,
92,DL,991304838,,
92,DL,991339148,,
12,DB,991333807,,
85,TE,991304839,,
16,WR,991304840,,
16,WR,991339149,,
7,WR,991339150,,
7,WR,991304841,,
66,OL,991304842,,
66,OL,991339151,,
29,DB,991392717,,
34,DB,991325894,,
99,LB,991304843,,
4,WR,991304844,,
4,WR,991339153,,
88,TE,991339154,,
88,TE,991304845,,
80,TE,991304846,,
80,TE,991339155,,
14,DB,991339156,,
14,DB,991304847,,
77,OL,991304848,,
77,OL,991339157,,
64,OL,991339158,,
64,OL,991304849,,
5,DB,991304850,,
90,LB,991304851,,
90,LB,991339159,,
98,DL,991339160,,
98,DL,991304852,,
11,P,991304853,,
11,P,991339161,,
35,LB,991339162,,
35,LB,991304854,,
84,TE,991304855,,
94,DL,991304856,,
57,LB,991304857,,
57,LB,991398824,,
32,LB,991339164,,
32,LB,991304858,,
34,RB,991304859,,
34,RB,991339165,,
95,LB,991339166,,
95,LB,991304860,,
12,WR,991304861,,
72,OL,991304862,,
72,OL,991339167,,
59,LB,991304863,,
97,DL,991304864,,
91,DL,991351311,,
2,DB,991339168,,
2,DB,991304865,,
70,OL,991304866,,
70,OL,991339169,,
81,WR,991339170,,
81,WR,991304867,,
27,DB,991304868,,
27,DB,991339171,,
26,RB,991339172,,
26,RB,991304869,,
13,QB,991304870,,
50,LB,991304871,,
36,DB,991320824,,
25,DB,991304872,,
61,OL,991304873,,
17,TE,991304874,,
21,DB,991304875,,
67,OL,991304876,,
67,OL,991339174,,
76,OL,991304877,,
82,WR,991304878,,
48,LB,991340609,,
91,DL,991304879,,
24,DB,991304880,,
24,DB,991339175,,
45,LB,991339176,,
45,LB,991304881,,
51,OL,991366012,,
71,OL,991339177,,
71,OL,991304882,,
49,LB,991304883,,
49,LB,991339178,,
83,WR,991339179,,
83,WR,991304884,,
33,K,991304885,,
33,K,991339180,,
93,DL,991339181,,
93,DL,991304886,,
31,DB,991304887,,
40,LB,991304888,,
40,LB,991339182,,
37,DB,991304889,,
56,LB,991304890,,
74,OL,991304891,,
39,DB,991304892,,
39,DB,991357719,,
54,LB,991377940,,
48,LB,991304893,,
87,WR,991304894,,
63,OL,991304895,,
36,RB,991304896,,
86,WR,991304897,,
78,OL,991304898,,
56,OL,991304899,,
41,DB,991304900,,
69,DL,991304901,,
28,DB,991304902,,
30,DB,991304903,,
38,DB,991304904,,
38,DB,991339184,,
47,RB,991304905,,
15,K,991339185,,
15,K,991409488,,
21,DB,991359446,,
21,DB,991409489,,
92,DL,991409490,,
92,DL,991339186,,
92,DL,991309054,,
18,WR,991336053,,
18,WR,991409491,,
45,LB,991409492,,
45,LB,991339187,,
45,LB,991309055,,
52,DL,991351312,,
97,DL,991409493,,
97,DL,991339188,,
97,DL,991309056,,
36,LB,991334979,,
69,LS,991409494,,
69,LS,991339189,,
69,LS,991309057,,
51,DL,991389126,,
11,QB,991409495,,
11,QB,991339190,,
11,QB,991309058,,
27,DB,991309059,,
27,DB,991339191,,
27,DB,991409496,,
1,WR,991339192,,
1,WR,991309060,,
1,WR,991411815,,
73,OL,991309061,,
73,OL,991339193,,
73,OL,991409497,,
99,DL,991409498,,
99,DL,991365689,,
99,DL,991309062,,
60,OL,991309063,,
58,LB,991409499,,
58,LB,991309064,,
58,LB,991339194,,
17,QB,991339195,,
17,QB,991309065,,
17,QB,991409500,,
7,DB,991409501,,
7,DB,991309066,,
7,DB,991339196,,
14,QB,991309067,,
32,WR,991309068,,
32,K,991358291,,
38,DB,991304740,,
76,OL,991309069,,
76,OL,991339197,,
76,OL,991409502,,
16,WR,991411816,,
16,WR,991377523,,
52,DL,991309070,,
26,RB,991409503,,
26,RB,991309071,,
26,RB,991339198,,
88,TE,991339199,,
88,TE,991309072,,
88,TE,991409504,,
66,OL,991309073,,
66,OL,991339200,,
66,OL,991409505,,
