SeasonType,Season,AwayScore,HomeScore,StadiumID,ForecastDescription,ForecastWindChill,ForecastWindSpeed,ScoreID,NeutralVenue
1,2025,0,26,31,Clear Sky,37,2,19233,False
1,2025,14,31,54,Clear Sky,57,5,19234,False
1,2025,26,7,8,Overcast Clouds,23,10,19235,False
1,2025,27,26,19,Clear Sky,33,11,19236,False
1,2025,15,33,4,Broken Clouds,24,3,19237,False
1,2025,30,44,21,Clear Sky,13,3,19238,False
1,2025,37,9,45,Overcast Clouds,41,2,19239,False
1,2025,27,22,7,Broken Clouds,24,10,19240,False
1,2025,34,39,1,Few Clouds,14,7,19249,False
1,2025,31,29,6,Overcast Clouds,15,17,19241,False
1,2025,19,36,10,Light Rain,60,2,19243,False
1,2025,0,31,42,Overcast Clouds,-2,5,19244,False
1,2025,34,10,3,Overcast Clouds,30,11,19245,False
1,2025,24,20,24,Light Rain,63,10,19246,False
1,2025,24,17,53,Clear Sky,52,0,19247,False
1,2025,45,17,29,Clear Sky,58,2,19248,False
1,2025,21,28,22,Clear Sky,-4,4,19242,False
1,2025,20,10,15,Broken Clouds,18,5,19250,False
1,2025,19,22,54,Clear Sky,67,6,19251,False
1,2025,29,28,24,Clear Sky,53,5,19252,False
1,2025,3,31,20,Broken Clouds,-11,11,19253,False
1,2025,24,0,5,Clear Sky,-3,4,19254,False
1,2025,20,40,11,Few Clouds,36,10,19255,False
1,2025,20,48,10,Clear Sky,41,13,19256,False
1,2025,16,13,15,Clear Sky,8,11,19257,False
1,2025,35,31,4,Scattered Clouds,4,12,19258,False
1,2025,29,21,3,Clear Sky,7,14,19259,False
1,2025,0,31,18,Scattered Clouds,5,14,19260,False
1,2025,26,34,13,Clear Sky,41,6,19261,False
1,2025,34,41,54,Broken Clouds,59,3,19262,False
1,2025,17,20,27,Clear Sky,31,14,19263,False
1,2025,16,18,31,Light Rain,52,5,19264,False
1,2025,24,37,37,Scattered Clouds,47,2,19265,False
1,2025,34,26,17,Clear Sky,29,5,19266,False
1,2025,15,28,8,Broken Clouds,11,6,19267,False
1,2025,37,38,31,Light Rain,43,12,19268,False
1,2025,29,18,19,Clear Sky,33,11,19040,False
1,2025,16,22,20,Clear Sky,21,15,19041,False
1,2025,20,23,26,Clear Sky,34,6,19270,False
1,2025,23,20,6,Clear Sky,14,7,19271,False
1,2025,34,17,17,Overcast Clouds,58,6,19272,False
1,2025,45,21,2,Light Rain,75,12,19280,False
1,2025,6,29,27,Light Rain,71,5,19273,False
1,2025,16,13,3,Clear Sky,19,11,19274,False
1,2025,9,26,12,Clear Sky,35,5,19275,False
1,2025,26,19,29,Clear Sky,64,3,19276,False
1,2025,34,20,13,Broken Clouds,44,5,19277,False
1,2025,29,24,21,Clear Sky,19,4,19278,False
1,2025,21,23,11,Overcast Clouds,72,4,19279,False
1,2025,28,24,7,Clear Sky,24,9,19269,False
1,2025,48,27,9,Light Rain,43,8,19281,False
1,2025,30,23,19,Clear Sky,34,8,19052,False
1,2025,10,23,42,Overcast Clouds,28,8,19053,False
1,2025,20,13,15,Clear Sky,65,10,19043,False
1,2025,20,16,54,Clear Sky,54,4,19293,False
1,2025,41,24,22,Overcast Clouds,31,8,19291,False
1,2025,27,10,26,Overcast Clouds,42,9,19294,False
1,2025,14,37,5,Moderate Rain,54,16,19290,False
1,2025,6,13,6,Moderate Rain,62,23,19282,False
1,2025,23,17,9,Overcast Clouds,25,20,19283,False
1,2025,17,20,2,Clear Sky,67,4,19284,False
1,2025,42,10,3,Light Rain,28,7,19285,False
1,2025,34,26,12,Light Rain,57,14,19286,False
1,2025,34,10,53,Clear Sky,50,6,19292,False
1,2025,13,12,1,Light Rain,55,25,19287,False
1,2025,38,42,37,Clear Sky,48,1,19288,False
1,2025,24,27,45,Clear Sky,21,15,19289,False
1,2025,14,16,24,Overcast Clouds,64,6,19308,False
1,2025,13,3,37,Broken Clouds,56,8,19307,False
1,2025,17,19,45,Clear Sky,48,2,19295,False
1,2025,20,18,5,Broken Clouds,28,4,19298,False
1,2025,30,38,11,Clear Sky,54,5,19310,False
1,2025,7,41,10,Overcast Clouds,52,5,19309,False
1,2025,3,16,42,Overcast Clouds,27,4,19302,False
1,2025,17,34,3,Overcast Clouds,24,7,19304,False
1,2025,8,35,1,Overcast Clouds,21,4,19296,False
1,2025,19,16,20,Overcast Clouds,24,13,19297,False
1,2025,3,19,13,Overcast Clouds,45,3,19299,False
1,2025,20,37,54,Light Rain,56,1,19301,False
1,2025,12,14,53,Overcast Clouds,56,11,19300,False
1,2025,10,38,4,Overcast Clouds,17,7,19303,False
1,2025,24,17,18,Broken Clouds,23,4,19305,False
1,2025,24,26,8,Clear Sky,22,3,19306,False
3,2025,34,31,26,Scattered Clouds,65,8,19441,False
3,2025,27,31,20,Light Snow,18,15,19442,False
3,2025,27,24,10,Clear Sky,46,9,19443,False
3,2025,23,19,18,Clear Sky,25,13,19440,False
3,2025,3,16,4,Clear Sky,22,15,19439,False
3,2025,30,6,8,Clear Sky,24,9,19444,False
3,2025,30,33,13,Clear Sky,24,4,19447,False
3,2025,6,41,31,Clear Sky,42,2,19445,False
3,2025,16,28,4,Snow,26,5,19448,False
3,2025,20,17,20,Light Snow,5,14,19446,False
3,2025,10,7,13,Overcast Clouds,-5,7,19449,False
3,2025,27,31,31,Clear Sky,33,1,19450,False
5,2025,66,52,91,Few Clouds,59,6,19438,
3,2025,29,13,37,Broken Clouds,57,2,19451,True
